image,rank,name,platform,start,end,start2,end2,start3,end3,siblings,sibling_rank
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/1.png,1,我爱露西,CBS,1951,1957,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/2.png,2,广告狂人,AMC,2007,2015,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/3.png,3,黑道家族,HBO,1999,2007,,,,,5,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/4.png,4,辛普森一家,Fox,1989,2024,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/5.png,5,绝命毒师,AMC,2008,2013,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/6.png,6,欲望都市,HBO,1998,2004,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/7.png,7,火线,HBO,2002,2008,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/8.png,8,宋飞正传,NBC,1989,1998,,,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/9.png,9,玛丽·泰勒·摩尔秀,CBS,1970,1977,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/10.png,10,根,ABC,1977,,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/11.png,11,干杯酒吧,NBC,1982,1993,,,,,3,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/12.png,12,芝麻街,PBS/HBO/Max,1969,2024,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/13.png,13,继承之战,HBO,2018,2023,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/14.png,14,迷离时空,CBS,1959,1964,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/15.png,15,周六夜现场,NBC,1975,2024,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/16.png,16,全家福,CBS,1971,1979,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/17.png,17,奥普拉秀,Syndicated,1986,2011,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/18.png,18,黄金女郎,NBC,1985,1992,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/19.png,19,90分钟剧场,CBS,1955,1960,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/20.png,20,60分钟,CBS,1968,2024,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/21.png,21,权力的游戏,HBO,2011,2019,,,,,4,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/22.png,22,我为喜剧狂,NBC,2006,2013,,,,,3,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/23.png,23,卡洛尔·伯纳特秀,CBS,1967,1978,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/24.png,24,陆军野战医院,CBS,1972,1983,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/25.png,25,白宫风云,NBC,1999,2006,,,,,5,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/26.png,26,副总统,HBO,2012,2019,,,,,3,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/27.png,27,双峰,ABC/Showtime,1990,1991,2017,,,,4,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/28.png,28,美国内战,PBS,1990,,,,,,4,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/29.png,29,老友记,NBC,1994,2004,,,,,3,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/30.png,30,山街蓝调,NBC,1981,1987,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/31.png,31,幸存者,CBS,2000,2024,,,,,3,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/32.png,32,迷失,ABC,2004,2010,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/33.png,33,抢答,Syndicated,1964,2024,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/34.png,34,急诊室的故事,NBC,1994,2009,,,,,3,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/35.png,35,大卫·莱特曼深夜秀,NBC,1982,1993,,,,,3,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/36.png,36,消消气,HBO,2000,2024,,,,,3,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/37.png,37,醍醐灌顶,HBO,2011,2013,,,,,4,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/38.png,38,X档案,Fox,1993,2002,2016,2018,,,3,1
