id,name,population,facts,pic
0,China, 1.43 billion,<p>There are 63 million pairs of chopsticks — or 126 million single sticks — manufactured in China every year. These range from mass-produced disposable chopsticks to high-quality sticks that can take up to (yes) a month to painstakingly make.</p>,https://thumbor.bigedition.com/chinese-chop-sticks/W3fp7SZKqja-VtrYofqrVo-iEuo=/800x0/filters:quality(80)/granite-web-prod/1d/61/1d610369822a44d68adff87195654998.jpeg
1,India,1.37 billion,"<p>India gave the world its sweet tooth. Although sugarcane originated in Southeast Asia, it was first<a href=""https://theconversation.com/a-history-of-sugar-the-food-nobody-needs-but-everyone-craves-49823""> chemically refined about 2,500 years ago in India</a>. (Thanks, India!)</p>",https://thumbor.bigedition.com/indian-sugar-cane/f1mC6XDWhbC62AYFd8INC4kR650=/800x0/filters:quality(80)/granite-web-prod/40/f4/40f4625c538749c49cff38afb3cc6c7b.jpeg
2,United States, 329.1 million,<p>The stars and stripes make up one of the most recognizable flags of any country in the world. But did you know the modern iteration containing 50 stars was<a href="https://www.thevintagenews.com/2018/10/08/the-50-star-american-flag/"> designed for a class project</a> by an enterprising high school student in 1958? The teenager actually anticipated the addition of Alaska and Hawaii a year later?</p>,https://thumbor.bigedition.com/united-states-flag/ytrw-xb9_XRh9Fl1qpwBJOJ_u_E=/800x0/filters:quality(80)/granite-web-prod/0e/65/0e659085ba154d84a859e058bc45aa39.jpeg
3,Indonesia, 270.6 million,"<p>This Southeast Asian country is the world’s largest island nation, but no one knows exactly how many islands it contains (thousands and thousands, to be imprecise).<a href=""https://www.smithsonianmag.com/smart-news/indonesias-trying-figure-out-how-many-islands-it-contains-180963606/""> Indonesia attempted to count them all</a> in 2017, but several differing figures still exist.</p>",https://thumbor.bigedition.com/indonesian-islands/5LtDHJJczcN-a64J9bIWM4t43Ag=/800x0/filters:quality(80)/granite-web-prod/f4/65/f465cca37d4b4c6fb97e6ee22109bb57.jpeg
4,Pakistan,216.6 million ,<p>There’s a small city called Sialkot in this South Asian country that produces<a href="https://aroundpakistan.com/40-of-soccer-balls-are-produced-in-a-single-city-youll-never-guess/"> 40 percent of the world’s soccer balls</a>.</p>,https://thumbor.bigedition.com/pakistan-soccer/O-NIXMilcqezXsxBg7u_0KiSG00=/800x0/filters:quality(80)/granite-web-prod/28/f7/28f7ef9b94c646b79847f01bf29ab179.jpeg
5,Brazil, 211 million,"<p>There are more uncontacted people in Brazil’s portion of the Amazon than anywhere else on the planet, with the<a href=""https://www.survivalinternational.org/tribes/brazilian""> number of isolated tribes</a> believed to be more than 100. </p>",https://thumbor.bigedition.com/brazil-indigenous-people-of-the-amazon/9R8JzJSKs5m-lS2Yr_aitqMQ0_w=/800x0/filters:quality(80)/granite-web-prod/8a/1f/8a1f73c3f3944ed4bbe9c95f129b6c6c.jpeg
6,Nigeria, 201 million,"<p>The Yoruba people in the southwest part of this African nation are known for<a href=""https://face2faceafrica.com/article/igbo-ora-twins""> giving birth to more twins</a> than anywhere else in the world, at a rate of 50 per 1,000 births. The best explanation so far is that Yoruba people eat a type of yam that contains an ovarian stimulate that might release more eggs.</p>",https://thumbor.bigedition.com/yoruba-people-nigeria/4-JhyN_JFkxR7O9ZvbThOfZYm3o=/800x0/filters:quality(80)/granite-web-prod/d6/61/d661bc2864ff4495a683969d22c82ede.jpeg
7,Bangladesh,163 million,"<p>This South Asian country is very warm — so warm, in fact, that the<a href=""http://www.xinhuanet.com/english/2018-01/08/c_136880252.htm""> lowest temperature ever recorded</a> was 2.6 degrees Celsius (37.7 degrees Fahrenheit), which is just above freezing. Still, the 2018 cold spell was blamed for 12 deaths. </p>",https://thumbor.bigedition.com/bangladeshi-traditional-boat/rbJYXvJ7zz0pLkZ_wbdBGmjODv4=/800x0/filters:quality(80)/granite-web-prod/6c/d8/6cd8cd2d728249db91f1b2ba54988dca.jpeg
8,Russia, 145.9 million,"<p>In 2012, Russian scientists were able to<a href=""https://www.theguardian.com/world/2012/feb/21/russian-scientists-regenerate-ice-age-plant""> regenerate a plant</a> from a seed found in Siberian permafrost that was more than 30,000 years old. </p>",https://thumbor.bigedition.com/russian-white-flower/aJx7f6NHwHH2cUO6K_f1mE3tesY=/800x0/filters:quality(80)/granite-web-prod/d3/25/d32533d36c6e4fb6a13dfb14473a21ce.jpeg
9,Mexico,127.6 million ,<p>This North American country is home to many pyramids built by the Mayans and other ancient civilizations. But its least famous triangular structure is actually the largest one in the world. </p>,https://thumbor.bigedition.com/mexico-pyramid-of-cholula/yW7pr5y_uhx5kjC650i1irbHDGc=/800x0/filters:quality(80)/granite-web-prod/dc/31/dc311eccc84e4b28a33ca578ce8afdb8.jpeg
10,Japan, 126.9 million,"<p>Located along the <a href=""https://www.farandwide.com/s/amazing-geography-facts-d9d661749cad43df"">earthquake-prone Ring of Fire</a>, this Asian island nation experiences<a href=""https://www.express.co.uk/news/world/978227/Japan-earthquake-why-so-many-Osaka-stay-safe-earthquake""> 20 percent of the world’s 6.0-magnitude or higher temblors</a> annually. Earthquakes that size can (and do) cause major destruction.</p>",https://thumbor.bigedition.com/japanese-volcano/5PkFOS_eMCnfCZi3371_TYe0C5A=/800x0/filters:quality(80)/granite-web-prod/46/21/46213461ae734ad4b0c85f76520b13ea.jpeg
